source,source_product_id,name,image_url,regular_price,sale_price,stock_quantity,source_order
biznecubano,116320,Crema facial de colágeno retinol hialuronico,https://biznecubano.com/images/small/tenants/1410/products/116320/Jn9-product-cover.jpeg,10,,2,135
biznecubano,116321,"Crema facial arcilla, vit. C y curcuma",https://biznecubano.com/images/small/tenants/1410/products/116321/egX-product-cover.jpeg,10,,2,136
biznecubano,116322,Aceite capilar batana,https://biznecubano.com/images/small/tenants/1410/products/116322/iAR-product-cover.jpeg,10,,2,137
biznecubano,116323,Cera en barra para el cabello,https://biznecubano.com/images/small/tenants/1410/products/116323/mW1-product-cover.jpeg,8,,2,138
biznecubano,116324,Parche para ojos 24K,https://biznecubano.com/images/small/tenants/1410/products/116324/Vlb-product-cover.jpeg,8,,1,139
biznecubano,116325,Serum capilar EELHOE con keratina y proteina,https://biznecubano.com/images/small/tenants/1410/products/116325/aHE-product-cover.jpeg,10,,2,140
biznecubano,116326,Crema blanqueadora para muslos y axila,https://biznecubano.com/images/small/tenants/1410/products/116326/D9O-product-cover.jpeg,8,,1,141
biznecubano,116327,Crema HOYGY vit.C curcuma y 5% hialuronico,https://biznecubano.com/images/small/tenants/1410/products/116327/bal-product-cover.jpeg,9,,2,142
biznecubano,116328,Crema aclaradora intensa hiperpigmentacion,https://biznecubano.com/images/small/tenants/1410/products/116328/O2c-product-cover.jpeg,10,,2,143
biznecubano,116443,Tendedero Plegable Rosa,https://biznecubano.com/images/small/tenants/1410/products/116443/5pt-product-cover.jpeg,26,,7,144
biznecubano,116444,Sartén Grande (Wok),https://biznecubano.com/images/small/tenants/1410/products/116444/QQP-product-cover.jpeg,25,,10,145
biznecubano,116492,Carrito de Mandado Plegable Rojo,https://biznecubano.com/images/small/tenants/1410/products/116492/hhP-product-cover.jpeg,25,,2,146
biznecubano,116496,Carrito de Mandado Plegable Rojo Vino,https://biznecubano.com/images/small/tenants/1410/products/116496/XHc-product-cover.jpeg,25,,2,147
biznecubano,116497,Carrito de Mandado Plegable Negro,https://biznecubano.com/images/small/tenants/1410/products/116497/HpH-product-cover.jpeg,25,,2,148
biznecubano,116498,Carrito de Mandado Plegable Azul,https://biznecubano.com/images/small/tenants/1410/products/116498/iAZ-product-cover.jpeg,25,,2,149
biznecubano,116502,Carrito de Mandado Plegable Azul oscuro,https://biznecubano.com/images/small/tenants/1410/products/116502/lwx-product-cover.jpeg,25,,2,150
biznecubano,116521,"Ventilador Recargable MILEXUS 16"" NEGRO",https://biznecubano.com/images/small/tenants/1410/products/116521/ur6-product-cover.jpeg,55,,5,151
biznecubano,116522,"Ventilador Recargable MILEXUS 16"" BLANCO",https://biznecubano.com/images/small/tenants/1410/products/116522/Fl4-product-cover.jpeg,55,,3,152
biznecubano,116744,Sartén 24 cm,https://biznecubano.com/images/small/tenants/1410/products/116744/vgu-product-cover.jpeg,19,,6,153
biznecubano,116745,Cesto con Pedal SLIM 15LT Blanco,https://biznecubano.com/images/small/tenants/1410/products/116745/5MD-product-cover.jpeg,16,,2,154
biznecubano,116746,Cesto con Pedal SLIM 15LT beige,https://biznecubano.com/images/small/tenants/1410/products/116746/SAv-product-cover.jpeg,16,,2,155
biznecubano,116747,Cesto con Pedal SLIM 15LT Gris,https://biznecubano.com/images/small/tenants/1410/products/116747/tqi-product-cover.jpeg,16,,2,156
biznecubano,116748,Zapatera de tela gris,https://biznecubano.com/images/small/tenants/1410/products/116748/QbS-product-cover.jpeg,35,,1,157
biznecubano,116749,Zapatera de tela negro,https://biznecubano.com/images/small/tenants/1410/products/116749/nUS-product-cover.jpeg,35,,2,158
biznecubano,116750,Organizador Colgante de Tela – 5 Niveles,https://biznecubano.com/images/small/tenants/1410/products/116750/bzh-product-cover.jpeg,15,,6,159
