Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,Sale price,Manage stock?,Stock,In stock?,Images,Meta: _cvd_source,Meta: _cvd_source_product_id
simple,CV-BIZ-107355,Cesta tipo mimbre rectangular,1,0,visible,10,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/107355/ocy-product-cover.jpeg,biznecubano,107355
simple,CV-BIZ-107505,Colchón 180x200cm Dawang + 2 almohadas hoteleras,1,0,visible,340,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/107505/PyL-product-cover.jpeg,biznecubano,107505
simple,CV-BIZ-108063,Shampo + Acondicionador Oggy de Romero,1,0,visible,7,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/108063/hFF-product-cover.jpeg,biznecubano,108063
simple,CV-BIZ-108754,Colchón - EDSM A - 3/4,1,0,visible,275,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/108754/Dff-product-cover.jpeg,biznecubano,108754
simple,CV-BIZ-108755,Colchón - EDSM A - Camero,1,0,visible,290,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/108755/jkj-product-cover.jpeg,biznecubano,108755
simple,CV-BIZ-108756,Colchón - EDSM A - Queen,1,0,visible,310,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/108756/1bR-product-cover.jpeg,biznecubano,108756
simple,CV-BIZ-108757,Colchón - EDSM A - King,1,0,visible,340,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/108757/pnc-product-cover.jpeg,biznecubano,108757
simple,CV-BIZ-108758,Colchón 3/4 + Almohada - EDSM A,1,0,visible,290,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/108758/kCV-product-cover.jpeg,biznecubano,108758
simple,CV-BIZ-108759,Colchón Camero + Almohada - EDSM A,1,0,visible,310,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/108759/sBB-product-cover.jpeg,biznecubano,108759
simple,CV-BIZ-108760,Colchón Queen + Almohada - EDSM A,1,0,visible,330,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/108760/C1K-product-cover.jpeg,biznecubano,108760
simple,CV-BIZ-108761,Colchón King + Almohada - EDSM A,1,0,visible,365,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/108761/Q2u-product-cover.jpeg,biznecubano,108761
simple,CV-BIZ-108824,Set de Jarra con Vasos,1,0,visible,14,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/108824/tOp-product-cover.jpeg,biznecubano,108824
simple,CV-BIZ-108854,Alfombra decorativa 80x120cm,1,0,visible,25,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/108854/CXR-product-cover.jpeg,biznecubano,108854
simple,CV-BIZ-108913,Mesita infantil,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/108913/JUO-product-cover.jpeg,biznecubano,108913
simple,CV-BIZ-109261,Limpiador facial blanqueador con vitamina C,1,0,visible,8,,1,3,1,https://biznecubano.com/images/small/tenants/1410/products/109261/ulO-product-cover.jpeg,biznecubano,109261
simple,CV-BIZ-109793,Protector de colchón Queen,1,0,visible,36,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/109793/iPQ-product-cover.jpeg,biznecubano,109793
simple,CV-BIZ-109794,Protector de colchón Personal,1,0,visible,23,,1,4,1,https://biznecubano.com/images/small/tenants/1410/products/109794/sc4-product-cover.jpeg,biznecubano,109794
simple,CV-BIZ-109862,Alfombra Circular Decorativa – 180 cm,1,0,visible,60,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/109862/RlU-product-cover.jpeg,biznecubano,109862
simple,CV-BIZ-109864,Alfombra Circular Decorativa – 180 cm,1,0,visible,60,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/109864/DvG-product-cover.jpeg,biznecubano,109864
simple,CV-BIZ-109865,Alfombra Circular Decorativa – 180 cm,1,0,visible,60,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/109865/Gh3-product-cover.jpeg,biznecubano,109865
simple,CV-BIZ-109866,Alfombra Circular Decorativa – 180 cm,1,0,visible,60,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/109866/oMc-product-cover.jpeg,biznecubano,109866
simple,CV-BIZ-109868,Alfombra Decorativa Moderna – 180 x 200 cm,1,0,visible,70,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/109868/PCS-product-cover.jpeg,biznecubano,109868
simple,CV-BIZ-109870,Cortina de baño,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/109870/Jwb-product-cover.jpeg,biznecubano,109870
simple,CV-BIZ-109873,Cortina blackout moderna (2 paneles),1,0,visible,36,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/109873/3mg-product-cover.jpeg,biznecubano,109873
simple,CV-BIZ-109876,Set de alfombras para baño (3 piezas),1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/109876/0Vf-product-cover.jpeg,biznecubano,109876
simple,CV-BIZ-109878,Tazas con platillos,1,0,visible,14,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/109878/y8R-product-cover.jpeg,biznecubano,109878
simple,CV-BIZ-109879,Tazas con platillos,1,0,visible,14,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/109879/34c-product-cover.jpeg,biznecubano,109879
simple,CV-BIZ-109880,Edredón + Juego de Sábanas Queen,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/109880/b0y-product-cover.jpeg,biznecubano,109880
simple,CV-BIZ-110866,Jarra de cristal 1.3 Litros,1,0,visible,10,,1,4,1,https://biznecubano.com/images/small/tenants/1410/products/110866/317-product-cover.jpeg,biznecubano,110866
simple,CV-BIZ-110869,Colador metálico de cocina (set 3 piezas),1,0,visible,5,,1,4,1,https://biznecubano.com/images/small/tenants/1410/products/110869/Pub-product-cover.jpeg,biznecubano,110869
simple,CV-BIZ-110871,Toalla de Baño Majestic Imperial Gris Clara,1,0,visible,18,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/110871/QCg-product-cover.jpeg,biznecubano,110871
simple,CV-BIZ-111551,Set de 5 pozuelos cuadrados (Rojo),1,0,visible,10,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/111551/MeQ-product-cover.jpeg,biznecubano,111551
simple,CV-BIZ-111553,Protector de Colchón Acolchado FULL,1,0,visible,34,,1,3,1,https://biznecubano.com/images/small/tenants/1410/products/111553/D2o-product-cover.jpeg,biznecubano,111553
simple,CV-BIZ-111554,Cortinero decorativo,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/111554/Llu-product-cover.jpeg,biznecubano,111554
